2019-10-21-03:59:00+0000 1.11566 1.11569 1.11566 1.11568 0.00013 9
2019-10-21-04:00:00+0000 1.11570 1.11576 1.11570 1.11572 0.00013 11
2019-10-21-04:01:00+0000 1.11571 1.11572 1.11562 1.11562 0.00013 15
2019-10-21-04:02:00+0000 1.11561 1.11569 1.11560 1.11569 0.00013 20
2019-10-21-04:03:00+0000 1.11567 1.11567 1.11560 1.11562 0.00014 10
2019-10-21-04:04:00+0000 1.11564 1.11565 1.11558 1.11559 0.00013 20
2019-10-21-04:05:00+0000 1.11560 1.11563 1.11560 1.11563 0.00014 6
2019-10-21-04:06:00+0000 1.11565 1.11571 1.11564 1.11570 0.00013 10
2019-10-21-04:07:00+0000 1.11571 1.11571 1.11571 1.11571 0.00013 
2019-10-21-04:08:00+0000 1.11572 1.11575 1.11571 1.11575 0.00012 8
2019-10-21-04:09:00+0000 1.11573 1.11574 1.11572 1.11573 0.00012 9
2019-10-21-04:10:00+0000 1.11572 1.11576 1.11572 1.11575 0.00013 5
2019-10-21-04:11:00+0000 1.11573 1.11574 1.11573 1.11573 0.00013 3
2019-10-21-04:12:00+0000 1.11573 1.11574 1.11573 1.11573 0.00013 
2019-10-21-04:13:00+0000 1.11572 1.11582 1.11571 1.11581 0.00013 23
2019-10-21-04:14:00+0000 1.11578 1.11583 1.11578 1.11583 0.00014 15
2019-10-21-04:15:00+0000 1.11581 1.11587 1.11580 1.11587 0.00013 13
2019-10-21-04:16:00+0000 1.11588 1.11588 1.11586 1.11588 0.00012 13
2019-10-21-04:17:00+0000 1.11589 1.11589 1.11584 1.11584 0.00013 9
2019-10-21-04:18:00+0000 1.11582 1.11584 1.11578 1.11581 0.00013 18
2019-10-21-04:19:00+0000 1.11582 1.11583 1.11580 1.11582 0.00013 20
2019-10-21-04:20:00+0000 1.11583 1.11583 1.11580 1.11582 0.00013 13
2019-10-21-04:21:00+0000 1.11584 1.11584 1.11581 1.11583 0.00012 3
2019-10-21-04:22:00+0000 1.11584 1.11588 1.11584 1.11584 0.00013 6
